CTRY,MCA,UNLocode,Country/Port Name,Label using special characters,Nat. Stat. Group,Statistical Port,National Code,2024 list: modifications compared to 2023 list,TEN-T network,Port on an island (X: Island; O: Outer region),Sea ,Sea code,NUTS 3 code,2023 list: modifications compared to 2022 list,2022 list: modifications compared to 2021 list,2021 list: modifications compared to 2020 list,2020 list: modifications compared to 2019 list,2019 list: modifications compared to 2018 list,2018 list: modifications compared to 2017 list,2017 list: modifications compared to 2016 list,2016 list: modifications compared to 2015 list,2015 list: modifications compared to 2014 list,2014 list: modifications compared to 2013 list,2013 list: modifications compared to 2012 list,2012 list: modifications compared to 2011 list,2011 list: modifications compared to 2010 list,2010 list: modifications compared to 2009 list,2009 list: modifications compared to 2008 list,2008 list: modifications compared to 2007 list,2007 list: modifications compared to 2006 list,2006 list: modifications compared to 2005 list,2005 list: modifications compared to 2004 Excel list,2004 Excel list: modifications compared to 2004 official list,2004 official list: modifications compared to 2000 official list,2000 official list: modifications compared to 1998 official list,previous changes (partial coverage) and other comments,Coordinates from 2009 list or provided by country,Coordinates UNECE,Coordinates Antwerpen (March 2009),Coordinates GISCO     Longitude    (SIF January 2009),Coordinates GISCO     Latitude    (SIF January 2009),Label in Comm Dec 2008/861,Label in UNECE
NO,NO00,NOLKV,Leksvik,,NOTRD,,,,,,North Sea,4,NO060,,,,,,,,,"2015: Change of ref stat port (previously NOVER, until 2012)",,,,2011: Reference statistical port defined + Change in Port name (previously Leksvik/Vanvikan/Verrabotn),,,,,,,2004: New entry,,,,,,,10.62079153,63.67264117,,Leksvik
NO,NO00,NOLND,Lyngdal,,NOFAN,,,2022: Becomes a non-statistical port,,,North Sea,4,NO092,,,,,2019: New entry as statistical port,,,,,,,,,,,,,,,,,,Does not refer to a port in UNLOCODE,,,,7.03127,58.13,,
NO,NO00,NOLNE,Leines,,NOOYB,,,,,,North Sea,4,NO071,,,,,2019: New entry as non-statistical port,,,,,,,,,,,,,,,,,,,,,,14.77262,67.73285,,
NO,NO00,NOLOD,Lodingen,Lødingen,,X,,,,,North Sea,4,NO071,,,,,,,,,,,,,,2010: Becomes statistical port,,,,,,2004: New entry,,,2011: No activity in the port in recent years. The port can be active until further notice,6824N 01559E,,6825N 01600E,15.99553585,68.41066179,,Lødingen
NO,NO00,NOLOE,Loen,,NOMAY,,,,,,North Sea,4,NO0A2,,,,,,,,,2015: New entry as non-statistical port,,,,,,,,,,,,,,,,6152N 00650E,,,,,
NO,NO00,NOLON,Lonevag,Lonevåg,,X,,,,,North Sea,4,NO0A2,,,,,2019: New entry as statistical port - Ex NOOST - Osteroy,,,,,,,,,,,,,,,,,,,,,,5.48966,60.52692,,Osterøy
NO,NO00,NOLOV,Lovund,,NO88N,,,,,,North Sea,4,NO071,,,,,2019: Change of statistical port (previously NO88A),,2017: Moved from list 1bis,,2015: New entry - Currently not surveyed - Minor port,,,,,,,,,,,,,,,6622N 01223E,,,,,,
NO,NO00,NOLRE,Lessremman,,NOBNN,,,,,,North Sea,4,NO071,,,,,2019: New entry as non-statistical port,,,,,,,,,,,,,,,,,,,,,,12.47758,65.36443,,
NO,NO00,NOLRI,Leirvik,,NOSRP,,,,,,North Sea,4,NO0A2,,,,,2019: Change of statistical port (previously NO88A),,2017: Previously Ref stat port NOSRP,,,,,,2011: New entry as non-statistical port - Previously re-grouped with Stord under code NOSRP,,,,,,,,,,,594646N_0052956,,,,,,
NO,NO00,NOLSU,Lysoysund,Lysøysund,NO88S,,,,,,North Sea,4,NO060,,,,,2019: Change of statistical port (previously NO88A),,2017: Previously Ref stat port NOLSU,,2015: New entry as non-statistical port,,,,,,,,,,,,,,,,6353N 00952E,,,,,
NO,NO00,NOLUL,Lutelandet,,NOFRO,,,,,,North Sea,4,NO0A2,,,,,,,,,,,,,,,,,,,,,,,,,,,4.974553,61.245393,,Fjaler
NO,NO00,NOLUS,Luster,,NO88S,,,,,,North Sea,4,NO0A2,,,,,2019: Change of statistical port (previously NO88A),,2017: Becomes a non-statistical port,,,,,,,2010: Becomes statistical port,,,,,,2004: New entry,,,,6124N 00717E,,,,,,Luster
NO,NO00,NOLVG,Laksevag,Laksevåg,NOBGO,,,,,,North Sea,4,NO0A2,,,,,,,,,2015: New entry as non-statistical port,,,,,,,,,,,,,,,,6023N 00518E,,,,,
NO,NO00,NOLVK,Laukvik,,NOSVJ,,,,,,North Sea,4,NO071,,,,,2019: Change of statistical port (previously NOVGN),,,,2015: New entry as non-statistical port,,,,,,,,,,,,,,,,6823N 01425E,,,,,
NO,NO00,NOLYD,Lyngseidet,,,X,,,,,North Sea,4,NO074,,,,,2019: New entry as statistical port - Ex NOLYN - Lyngen,,,,,,,,,,,,,,,,,,,,,,20.22185,69.57692,,Lyngen
NO,NO00,NOMAH,Maurholen,,NOEGE,,,,,,North Sea,4,NO0A1,,,,,2019: New entry as non-statistical port,,,,,,,,,,,,,,,,,,,,,,5.92137,58.46724,,
NO,NO00,NOMAN,Mandal,,,X,,,,,North Sea,4,NO092,,,,,,,,,,,,,,2010: Becomes statistical port,,,,,,2004: Re-introduced,,2000: Deleted ,,5801N 00727E,,5802N 00728E,7.466064444,58.01881947,,Mandal
NO,NO00,NOMAY,Maloy,Måløy,,X,,,,,North Sea,4,NO0A2,,,,,,,,,,,,,,,,,,,,2004: New entry,,2000: Deleted ,,6156N 00506E,6156N 00506E,6155N 00507E,5.118093491,61.93167296,,Måløy
NO,NO00,NOMEH,Mehamn,,NO88N,,,,,,North Sea,4,NO074,,,,,2019: Change of statistical port (previously NO88A),,2017: Previously Ref stat port NOGAM,,2015: Change in port name (previously: Gamvik/Mehamn),,,,,,,,,,,2004: New entry,,,,710234N 02750.80E,,7102N 02751E,27.85129738,71.03606415,,Mehamn
NO,NO00,NOMEK,Mekjarvik,,NOSVG,,,,,,North Sea,4,NO0A1,,,,,2019: New entry as non-statistical port,,,,,,,,,,,,,,,,,,Not in UNLOCODE,,,,5.619635,59.022742,,
NO,NO00,NOMEL,Melbu,,NOSKN,,,,,,North Sea,4,NO071,,,,,2019: Change of statistical port (previously NOHAD),,,,,,,,2011: New entry as non-statistical port - Previously regrouped with Hadsel under code NOHAD,,,,,,,,,,,6829N 01447E,,,,,,
