From EU Taxonomy compass,NACE,NACE sector,TAC NACE 2021,TAC rationale,"TAC is country dependent (0 = no, 1 = yes)",TEC NACE 2021,TEC rationale,"TEC is country dependent (0 = no, 1 = yes)"
1.0,C.26,"Manufacture of computer, electronic and optical products",0.0,The share of Taxonomy-aligned activities within this NACE code is very small at this stage. ,0.0,0,This NACE sector does not belong to the list of sectors defined as highly exposed to transition risk.,0
1.0,C.27,Manufacture of electrical equipment,0.0,The share of Taxonomy-aligned activities within this NACE code is very small at this stage. ,0.0,0,This NACE sector does not belong to the list of sectors defined as highly exposed to transition risk.,0
1.0,C.27 ,Manufacture of electrical equipment,0.0,The share of Taxonomy-aligned activities within this NACE code is very small at this stage. ,0.0,0,This NACE sector does not belong to the list of sectors defined as highly exposed to transition risk.,0
1.0,C.27.2,Manufacture of batteries and accumulators,1.0,This sector maps entirely to a Taxonomy-aligned activity (3.4),0.0,0,This NACE sector is not exposed to transition risk (see TAC).,0
1.0,C.27.31,Manufacture of fibre optic cables,0.0,The share of Taxonomy-aligned activities within this NACE code is very small at this stage. ,0.0,0,This NACE sector does not belong to the list of sectors defined as highly exposed to transition risk.,0
1.0,C.27.32,Manufacture of other electronic and electric wires and cables,0.0,The share of Taxonomy-aligned activities within this NACE code is very small at this stage. ,0.0,0,This NACE sector does not belong to the list of sectors defined as highly exposed to transition risk.,0
1.0,C.27.33,Manufacture of wiring devices,0.0,The share of Taxonomy-aligned activities within this NACE code is very small at this stage. ,0.0,0,This NACE sector does not belong to the list of sectors defined as highly exposed to transition risk.,0
1.0,C.27.4,Manufacture of electric lighting equipment,0.0,The share of Taxonomy-aligned activities within this NACE code is very small at this stage. ,0.0,0,This NACE sector does not belong to the list of sectors defined as highly exposed to transition risk.,0
1.0,C.27.51,Manufacture of electric domestic appliances,0.0,The share of Taxonomy-aligned activities within this NACE code is very small at this stage. ,0.0,0,This NACE sector does not belong to the list of sectors defined as highly exposed to transition risk.,0
1.0,C.28,Manufacture of machinery and equipment n.e.c.,0.0,The share of Taxonomy-aligned activities within this NACE code is very small at this stage. ,0.0,0,This NACE sector does not belong to the list of sectors defined as highly exposed to transition risk.,0
1.0,C.28 ,Manufacture of machinery and equipment n.e.c.,0.0,The share of Taxonomy-aligned activities within this NACE code is very small at this stage. ,0.0,0,This NACE sector does not belong to the list of sectors defined as highly exposed to transition risk.,0
1.0,C.28.11,"Manufacture of engines and turbines, except aircraft, vehicle and cycle engines",0.0,The share of Taxonomy-aligned activities within this NACE code is very small at this stage. ,0.0,0,This NACE sector does not belong to the list of sectors defined as highly exposed to transition risk.,0
1.0,C.28.12,Manufacture of fluid power equipment,0.0,The share of Taxonomy-aligned activities within this NACE code is very small at this stage. ,0.0,0,This NACE sector does not belong to the list of sectors defined as highly exposed to transition risk.,0
1.0,C.28.13,Manufacture of other pumps and compressors,0.0,The share of Taxonomy-aligned activities within this NACE code is very small at this stage. ,0.0,0,This NACE sector does not belong to the list of sectors defined as highly exposed to transition risk.,0
1.0,C.28.14,Manufacture of other taps and valves,0.0,The share of Taxonomy-aligned activities within this NACE code is very small at this stage. ,0.0,0,This NACE sector does not belong to the list of sectors defined as highly exposed to transition risk.,0
