Indicator 1: Current status and coverage of total available thematic data,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19
The purpose of this sheet is to provide a status overview of the different sub-theme data available on the portal and the download frequency by users,,,,,,,,,,,,,,,,,,,
"Please refer to ""Explanation of the trends and statistics"" below",,,,,,,,,,,,,,,,,,,
1.A) Volume and coverage of available data,,,,,,,,,,,,,,,,,,,
Reporting date,Portal name,Volume unit [1],,,,,,,,,,,,,,,,,
2025-07-01 00:00:00,Human Activities,Records; related records,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Sub-theme [2],,Total data volume per sub-theme: records ,Total data volume per sub-theme (previous quarter),Total data volume per sub-theme: related records ,Total data volume per sub-theme (previous quarter),Trend in total data volume (%) records [3],Trend in total data volume (%) related records[3],Total data Volume in GigaBytes [4],,,,,,,,,,,
Military Areas,Military Areas,1,0.14528,111,117,-0.05128205128205128,n.a.,n.a.,n.a.,220098,191771,0.14771263642573695,5052,5508,-0.08278867102396514,,,,
Maritime Spatial Planning (MSP),Maritime Spatial Planning (MSP),1,20.39716,106,102,0.0392156862745098,n.a.,n.a.,n.a.,258444,299786,-0.13790503892776848,3067,2830,0.08374558303886925,,,,
Oil and Gas,Boreholes,1,0.07956,73,85,-0.1411764705882353,n.a.,n.a.,n.a.,57101,55852,0.022362672778056293,692,2640,-0.7378787878787879,,,,
,Active Licences,1,0.06295,74,95,-0.22105263157894736,n.a.,n.a.,n.a.,89207,116546,-0.23457690525629366,26221,27144,-0.034003831417624523,,,,
,Offshore installations,1,0.024220000000000002,89,112,-0.20535714285714285,n.a.,n.a.,n.a.,514277,636150,-0.19157903010296315,2987,5251,-0.4311559702913731,,,,
Other forms of area management / designation,International conventions,1,1.53851,16,19,-0.15789473684210525,n.a.,n.a.,n.a.,54172,75591,-0.28335383841991774,1098,800,0.3725,,,,
,Maritime boundaries*,1,n.a.,n.a.,n.a.,,n.a.,n.a.,n.a.,n.a.,n.a.,N.a.,n.a.,,n.a.,,,,
,EEZ*,1,n.a.,n.a.,n.a.,,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,,n.a.,,,,
,Advisory councils,1,3.5709,18,22,n.a.,n.a.,n.a.,n.a.,217082,183525,0.18284702356627164,2478,1227,1.019559902200489,,,,
,MSFD Reporting Units,1,1.23067,15,31,-0.5161290322580645,n.a.,n.a.,n.a.,16111,16812,-0.041696407328098976,247,155,0.5935483870967742,,,,
Pipelines,Actual route locations,1,2.08993,123,121,0.01652892561983471,n.a.,n.a.,n.a.,659111,330707,0.9930361316815187,45845,37926,0.2088013499973633,,,,
Waste disposal,Dumped munitions,1,0.11725,66,46,0.43478260869565216,n.a.,n.a.,n.a.,137306,312670,-0.5608596923273739,5503,4343,0.2670964770895694,,,,
,Dredge spoil dumping,1,0.1593,42,68,-0.38235294117647056,n.a.,n.a.,n.a.,71137,74115,-0.04018080010794036,3115,4010,-0.2231920199501247,,,,
,UWW Treatment Plants,1,0.1361,21,31,-0.3225806451612903,n.a.,n.a.,n.a.,25082,27587,-0.09080363939536738,3284,3435,-0.04395924308588064,,,,
