Indicator 3: Internal and external organisations supplying/approached to supply data and data products since start of the project phase,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12
"CICA, ES",Government/Public administration,Spain,Atlantic Ocean / Mediterranean Sea,n.a.,Approached,Data,Cables,not restricted,Open data,Digital file,,
"Greg's Cable Map, ZA",Others,South Africa,All,n.a.,Approached,Data,Cables,not restricted,Open data,Digital file,,
"NVE, NO",Government/Public administration,Norway,North Sea,n.a.,Approached,Data,Cables,not restricted,Open data,Digital file,,
"Oil & Gas Authority, UK",Government/Public administration,UK,Atlantic Ocean / North Sea,n.a.,Approached,Data,Cables,not restricted,Open data,Digital file,,
"Rijkswaterstaat, NL",Government/Public administration,Netherlands,North Sea,n.a.,Approached,Data,Cables,not restricted,Open data,Digital file,,
"SHOM, FR",Government/Public administration,France,Atlantic Ocean / Mediterranean Sea,n.a.,Approached,Data,Cables,not restricted,Open data,Digital file,,
"SHOM, FR",Government/Public administration,France,Atlantic Ocean / Mediterranean Sea,n.a.,Approached,Data,Wrecks,not restricted,Open data,Digital file,,
"SIGCables, FR",Business,France,Atlantic Ocean / Mediterranean Sea,n.a.,Approached,Data,Cables,not restricted,Open data,Digital file,,
"TeleGeography, US",Business,UK,Atlantic Ocean / North Sea,n.a.,Approached,Data,Cables,not restricted,Bilateral agreement,Digital file,,
"Transport Malta - Maritime Division (ex. Malta Maritime Authority), MT",Government/Public administration,Malta,Mediterranean Sea,n.a.,Approached,Data,Cables,not restricted,Open data,Digital file,,
KIS-ORCA,Others,UK,Atlantic Ocean / North Sea,n.a.,Approached,Data,Cables,restricted,n.a.,Digital file,,asked to remove the data set
ARLHA,Others,n.a.,All,n.a.,Approached,Data,Lighthouses,not restricted,Open data,Digital file,,
MACHU,Others,n.a.,All,n.a.,Approached,Data,Wrecks,restricted,Bilateral agreement,Web service,,Data not available for download
SPLASCHOS,Others,n.a.,All,n.a.,Approached,Data,Submerged archaeology,restricted,Bilateral agreement,Web service,,Data not available for download
"APA-APFF, Direção de Gestão de Espaços, Ambiente e Infraestruturas, PT",Government/Public administration,Portugal,Atlantic Ocean,n.a.,Approached,Data,Dredging,not restricted,Open data,Digital file,,
"Autorità Portuale di Genova, IT",Government/Public administration,Italy,Mediterranean Sea,n.a.,Approached,Data,Dredging,not restricted,Open data,Digital file,,
"Autorità Portuale di Piombino, IT",Government/Public administration,Italy,Mediterranean Sea,n.a.,Approached,Data,Dredging,not restricted,Open data,Digital file,,
"Basin Directorate for Water Management in the Black Sea Region - Varna, BG",Government/Public administration,Bulgaria,Black Sea,n.a.,Approached,Data,Dredging,not restricted,Open data,Digital file,,
"Basque Government, Dirección de Infraestructuras del Transporte, ES",Government/Public administration,Spain,Atlantic Ocean / Mediterranean Sea,n.a.,Approached,Data,Dredging,not restricted,Open data,Digital file,,
