Title,Author/Organisation,URL,Publication Year,Description,Type,Region,Language
Working with Indigenous and local knowledge (ILK) in large-scale ecological assessments: Reviewing the experience of the IPBES Global Assessment,"Pamela McElwee, Álvaro Fernández-Llamazares, Yildiz Aumeeruddy-Thomas, Dániel Babai, Peter Bates, Kathleen Galvin, Maximilien Guèze, Jianguo Liu, Zsolt Molnár, Hien T. Ngo, Victoria Reyes-García, Rinku Roy Chowdhury, Aibek Samakov, Uttam Babu Shrestha, Sandra Díaz, Eduardo S. Brondízio",https://besjournals.onlinelibrary.wiley.com/doi/10.1111/1365-2664.13705,2020.0,"A reflection on the first global scale assessments to include IPLC, this publication explains the methodology taken to include multiple knowledge systems, identifies elements where ILK inclusion was particularly important, and outlines policy implications.  ",Indigenous and Local Knowledge; Ecological Assessments,Global,English
World's first Indigenous-led ocean reserve a step closer to reality,Rob Hutchins,https://oceanographicmagazine.com/news/worlds-first-indigenous-led-ocean-reserve-a-step-closer-to-reality/,2025.0,"The Malanesian Ocean Reserve is an initiative led and governed through Indigenous knowledge, supported with modern science, regional political leadership, and operating across multiple Exclusive Economic Zones. ",Indigenous-led Ocean Science; Marine Protected Areas,Pacific,English
The Ice Bridge: Monitoring the Wildlife of Pikialasorsuaq,Ruth Teichroeb,https://oceansnorth.org/2024/01/22/the-ice-bridge-monitoring-the-wildlife-of-pikialasorsuaq/,2024.0,"This web article explains the current research of the Arctic's largest polynya, a vital hunting ground and biodiversity hotspot. The research is interested in climate change impacts, which in turn influence subsistence hunting and food, as well as ecosystem health. ",Indigenous and Local Knowledge; Subsistence; Research,Arctic,English
Oceans North Celebrates Next Step Towards Protection for Western James Bay and Southwestern Hudson Bay,Oceans North,https://oceansnorth.org/2024/02/21/oceans-north-celebrates-next-step-towards-protection-for-western-james-bay-and-southwestern-hudson-bay/,2024.0,"A new National Marine Conservation Area has recently undergone a feasibility study, a crucial steo towards Indigenous-led protection of a vast and globally significant ecosystem. ",Indigenous-led Ocean Science; Marine Protected Areas,Arctic,English
"Weaving knowledge systems in IPBES, CBD and beyond—lessons learned for sustainability","Maria Tengö, Rosemary Hill, Pernilla Malmer, Christopher M Raymond, Marja Spierenburg, Finn Danielsen, Thomas Elmqvist, Carl Folke",https://www.sciencedirect.com/science/article/pii/S1877343517300039?via%3Dihub,2017.0,This paper highlights the importance of working across multiple knowledge systems and presents a framework to do so using examples from the IPBES and CBD. ,Indigenous and Local Knowledge; Biodiversity; Sustainability,Global,English
Indigenous Ocean Technology: Priorities and Practices,Eds. Ken Paul. Multiple Authors,https://www.thejot.net/archive-issues/?id=93,2025.0,"A special issue of the Journal of Ocean Technology, this publication contains multiple articles by Indigenous writers highlighting Indigenous technologies and Indigenous led initiatives. ",Indigenous-led Ocean Science; Technology,Global,English
"Guardians of Life: Indigenous knowledge, indigenous science, and restoring the planet","Photography by Kiliii Yüyan, Essays by Charles C. Mann and Gleb Raygorodetsky, Introduction by Quannah Chasinghorse, Epilogue Essays by Leaf Hillman, Lisa Morehead Hillman, Erjen Khamaganova, Tommy Remegesau Jr.",https://www.braidedriver.org/guardians-of-life,2026.0,"From the Braided River website: ""Guardians of Life: Indigenous Science, Indigenous Wisdom and Restoring the Planet, is an extraordinary visual journey that reveals Indigenous communities as Earth's most powerful protectors. The odyssey spans the globe, from Palau's coral reefs and Mongolia's steppes to the Amazon's rainforests and Greenland's sea ice.""",Indigenous Science; Traditional Knowledge,Global,English
Moana Matters: Culture and Deep Sea Mining in Oceania,Elise Huffer and Renee Hill Lewenilovo,https://link.springer.com/chapter/10.1007/978-3-031-98238-5_8,2025.0,"A chapter on ILK, ocean culture and science in Oceania in the face of the threat of deep sea mining.","Indigenous and Local Knowledge; Conservation & Protection; Treaty; Marine Conservation; Indigenous Rights; Coastal Communities; Indigenous Peoples and Local Communities Engagement; Social, Cultural, and Environmental Impact Assessments; Indigenous-led Ocean Science; Biodiversity, Sustainability; Deep Sea Mining",South Pacific,English
The Twin Pillars of Mombasa's Future: Water Safety and The Indi Water Way,Archiebold Manasseh ,https://www.linkedin.com/posts/archiebold-manasseh-521a5a120_ocean-economy-and-water-safety-as-a-policy-activity-7399190157519650816-W_Yc?utm_source=share&utm_medium=member_desktop&rcm=ACoAAB4OU2kBn9oZsAqvTUwRPxbZVYlLc8mDsnQ,2025.0,Co-designing Aquatic Literacy and Ocean Stewardship through Beach Management Units (BMUs) and Local Community Knowledge.,"Co-Design; Indigenous and Local Knowledge; Sustainable Ocean Planning; Social Equity; Community Involvement; Small Scale Fisheries; Indigenous Rights; Social Impact in Conservation; Climate Change Impacts; Coastal Communities; Nature-Based Solutions; Indigenous Peoples and Local Communities Engagement; Ecosystem/Ecological Assessments; Social, Cultural, and Environmental Impact Assessments; Indigenous Peoples and Local Communities; Biodiversity, Sustainability; Funding",Indian Ocean,English; Kiswahili
Indigenous Critical Reflections on Traditional Ecological Knowledge,Lara A. Jacobs,https://osupress.oregonstate.edu/book/indigenous-critical-reflections-on-traditional-ecological-knowledge,2025.0,"With more than fifty contributors, Indigenous Critical Reflections on Traditional Ecological Knowledge offers important perspectives by Indigenous Peoples on Traditional Ecological Knowledge and Indigenous value systems. The book aims to educate and inspire readers about the importance of decolonizing how Indigenous Knowledges are considered and used outside of Native communities.",Protocols; Co-Design; Knowledge Exchange; Indigenous and Local Knowledge; Guidance; Research Practices; Social Equity; Community Involvement; Indigenous Rights; Indigenous Peoples and Local Communities Engagement,Global,English
Decolonizing Conservation Reading List,Sara Cannon,https://bit.ly/decolonizing-conservation-2,2019.0,"The goal of the reading list is to help well-meaning non-Indigenous folks educate ourselves on the colonial, white supremacist, and imperialist roots of biodiversity conservation. ",Indigenous and Local Knowledge; Research Practices; Conservation & Protection; Marine Conservation; Indigenous Rights; Social Impact in Conservation; Indigenous Peoples and Local Communities Engagement; Indigenous Peoples and Local Communities,Arctic; North Pacific; South Pacific; North Atlantic; South Atlantic; Indian Ocean; Caribbean; Antarctic; Global,English; French; Spanish
Approach to recognizing and working with indigenous and local knowledge in the Intergovernmental Science-Policy Platform on Biodiversity and Ecosystem Services,IPBES,https://www.ipbes.net/assessment-guide_indigenous-and-local-knowledge,2017.0,This publication sets out the principles shaping the way in which IPLC are engaged in IPBES processes. It is a rolling draft and updated as new methods and approaches are developed and piloted. ,Guidance; Indigenous and Local Knowledge; Ecosystem Assessments; Biodiversity; Ecosystem Services,Global,English
Indigenous resurgence in the Blue Economy: Relational values to guide kelp mariculture,"Sarah B. Gutzmann, Charles Humchitt, Kevin Kowalchuk, Dorothy Hunt, Alyssa Allchurch, Andrés Cisneros-Montemayor, Anne K. Salomon",https://besjournals.onlinelibrary.wiley.com/doi/full/10.1002/pan3.70214,2025.0,A co-designed project investigating values of kelp to inform management decisions. ,Co-Design; Indigenous and Local Knowledge; Values,North Pacific,English
