Indicator 1: Current status and coverage of total available thematic data,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19
The purpose of this sheet is to provide a status overview of the different sub-theme data available on the portal and the download frequency by users,,,,,,,,,,,,,,,,,,,
"Please refer to ""Explanation of the trends and statistics"" below",,,,,,,,,,,,,,,,,,,
1.A) Volume and coverage of available data,,,,,,,,,,,,,,,,,,,
Reporting date,Portal name,Volume unit [1],,,,,,,,,,,,,,,,,
2025-03-03 00:00:00,Human Activities,records; related records,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Sub-theme [2],,Total data volume per sub-theme: records ,"Total data volume per sub-theme (since start of project phase, i.e. since last final report)",Total data volume per sub-theme: related records ,"Total data volume per sub-theme :related records (since start of project phase, i.e. since last final report)",Trend in total data volume (%) records [3],Trend in total data volume (%) related records[3],Total data Volume in GigaBytes [4],,,,,,,,,,,
,ICES statistical areas,0,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,119112,n.a.,n.a.,1215,n.a.,n.a.,1.5246247464503042,-0.2222222222222222,,
,Fishery catches by FAO statistical area,1,12.62331092783505,468,206,1.2718446601941749,n.a.,n.a.,n.a.,301367,n.a.,n.a.,17522,n.a.,n.a.,2.7719910846953937,33.429752066115704,,
,"Monthly first sales, EUMOFA",1,21.40572736842105,202,179,0.12849162011173185,n.a.,n.a.,n.a.,138707,n.a.,n.a.,3756,n.a.,n.a.,1.6649304316803424,34.82692307692308,,
,Fishing intensity,1,61.591471571906354,2129,906,1.3498896247240617,n.a.,n.a.,n.a.,1151582,n.a.,n.a.,32734,n.a.,n.a.,1.2941244041123428,2.3324491600353667,,
,Fishing quotas by FMZs,1,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,,
,Fishing effort,1,1.7753943089430895,425,168,1.5297619047619047,n.a.,n.a.,n.a.,329819,n.a.,n.a.,4550,n.a.,n.a.,2.2428631528337037,25.605263157894736,,
Main Ports,"Goods, Passengers, Vessels",1,37.03451851851852,1121,1256,-0.10748407643312102,n.a.,n.a.,n.a.,1041385,n.a.,n.a.,19054,n.a.,n.a.,1.756735773040121,1.5969289827255277,,
Military Areas,Military Areas,1,0.6327777777777779,871,328,1.6554878048780488,n.a.,n.a.,n.a.,769620,n.a.,n.a.,40925,n.a.,n.a.,0.9242138427886255,0.9449152542372882,,
Maritime Spatial Planning (MSP),Maritime Spatial Planning (MSP),1,9.196666666666667,527,384,0.3723958333333333,n.a.,n.a.,n.a.,1053393,n.a.,n.a.,11254,n.a.,n.a.,1.822843691148776,3.387596899224806,,
Oil and Gas,Boreholes,1,0.673547294117647,618,508,0.21653543307086615,n.a.,n.a.,n.a.,254779,n.a.,n.a.,15747,n.a.,n.a.,0.2858162396113912,4.6050955414012735,,
,Active Licences,1,0.47231578947368424,641,557,0.15080789946140036,n.a.,n.a.,n.a.,467901,n.a.,n.a.,139443,n.a.,n.a.,0.7017492626230178,-0.003670532961385993,,
,Offshore installations,1,0.21187499999999998,791,1034,-0.23500967117988394,n.a.,n.a.,n.a.,2003374,n.a.,n.a.,18600,n.a.,n.a.,1.0647651072061486,1.0003809523809524,,
Other forms of area management / designation,International conventions,1,0.6315621052631579,154,165,-0.06666666666666667,n.a.,n.a.,n.a.,235691,n.a.,n.a.,5106,n.a.,n.a.,7.148216018109302,0.5180265654648957,,
,Maritime boundaries*,1,n.a.,141,711,,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,,
,EEZ*,1,n.a.,149,190,,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,,
,Advisory councils,1,27.80171545454545,266,88,2.022727272727273,n.a.,n.a.,n.a.,574573,n.a.,n.a.,9637,n.a.,n.a.,16.086397914533098,2.958064516129032,,
,MSFD Reporting Units,1,0.678243870967742,166,332,-0.5,n.a.,n.a.,n.a.,57456,n.a.,n.a.,1207,n.a.,n.a.,1.2679077296641037,2.9743589743589745,,
Pipelines,Actual route locations,1,15.690400495867769,917,1337,-0.31413612565445026,n.a.,n.a.,n.a.,1403161,n.a.,n.a.,87073,n.a.,n.a.,1.6180305417237313,5.605015673981192,,
Waste disposal,Dumped munitions,1,1.517391304347826,698,484,0.44214876033057854,n.a.,n.a.,n.a.,740159,n.a.,n.a.,26465,n.a.,n.a.,3.319242989363172,0.7024696197569581,,
,Dredge spoil dumping,1,1.5926470588235295,570,400,0.425,n.a.,n.a.,n.a.,357176,n.a.,n.a.,12692,n.a.,n.a.,0.7448266120488735,2.3839662447257384,,
,UWW Treatment Plants,1,1.4582177419354838,225,192,0.171875,n.a.,n.a.,n.a.,115788,n.a.,n.a.,19165,n.a.,n.a.,0.521873448447068,0.18448275862068966,,
,UWW Discharge Points,1,1.62658,334,228,0.4649122807017544,n.a.,n.a.,n.a.,179755,n.a.,n.a.,6830,n.a.,n.a.,0.9845370838027896,6.887323943661972,,
,Waste at ports,1,0.06652173913043478,153,156,-0.019230769230769232,n.a.,n.a.,n.a.,128625,n.a.,n.a.,2186,n.a.,n.a.,2.577617809771379,5.522388059701493,,
"[1] Define unit of manual download (e.g. datasets, requests, records, …); additional explanation can be provided in the narrative.",,,,,,,,,,,,,,,,,,,
[2] Indicate the unit and total volume of downloadable items in relation to the unit in which they are downloadable (e.g. the total volume or number of CDIs/records/datasets/... available for download) – clearly specify the unit.,,,,,,,,,,,,,,,,,,,
[3] Decimal definition 1 GB = 1000^3 bytes.,,,,,,,,,,,,,,,,,,,
[4] Trend is calculated from the figures at the end of the last phase as compared with the figures at this stage.,,,,,,,,,,,,,,,,,,,
Explanation of trend value in the narrative.,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Explanation of the trends and statistics,,,,,,,,,,,,,,,,,,,
