run_id,run_path,timestamp_utc,manifest_timestamp_utc,dataset,record_index,dedupe_value,dedupe_field_used,doi,source_id,title,record_origin,axis_name
28625632237-1,runs/28625632237-1,2026-07-02T22:32:01+00:00,2026-07-02T22:32:01+00:00,live_records_triangulated,69,10.1002/9781119451396.app1,doi,10.1002/9781119451396.app1,crossref:10.1002/9781119451396.app1,Classical Marine Bioprospecting: Biochemistry and Genetic Engineering,,
28625632237-1,runs/28625632237-1,2026-07-02T22:32:01+00:00,2026-07-02T22:32:01+00:00,cumulative_qmbd_records,542,10.1002/9781119451396.app2,doi,10.1002/9781119451396.app2,crossref:10.1002/9781119451396.app2,Modern Marine Bioprospecting: Metagenomics,LIVE_API,
28625632237-1,runs/28625632237-1,2026-07-02T22:32:01+00:00,2026-07-02T22:32:01+00:00,live_records,76,10.1002/9781119451396.app2,doi,10.1002/9781119451396.app2,crossref:10.1002/9781119451396.app2,Modern Marine Bioprospecting: Metagenomics,,
28625632237-1,runs/28625632237-1,2026-07-02T22:32:01+00:00,2026-07-02T22:32:01+00:00,live_records_triangulated,76,10.1002/9781119451396.app2,doi,10.1002/9781119451396.app2,crossref:10.1002/9781119451396.app2,Modern Marine Bioprospecting: Metagenomics,,
28625632237-1,runs/28625632237-1,2026-07-02T22:32:01+00:00,2026-07-02T22:32:01+00:00,cumulative_qmbd_records,1081,10.1002/9781119511847.ch18,doi,10.1002/9781119511847.ch18,crossref:10.1002/9781119511847.ch18,Fisheries and Marine Protected Areas,LIVE_API,
28625632237-1,runs/28625632237-1,2026-07-02T22:32:01+00:00,2026-07-02T22:32:01+00:00,live_records,615,10.1002/9781119511847.ch18,doi,10.1002/9781119511847.ch18,crossref:10.1002/9781119511847.ch18,Fisheries and Marine Protected Areas,,
28625632237-1,runs/28625632237-1,2026-07-02T22:32:01+00:00,2026-07-02T22:32:01+00:00,live_records_triangulated,615,10.1002/9781119511847.ch18,doi,10.1002/9781119511847.ch18,crossref:10.1002/9781119511847.ch18,Fisheries and Marine Protected Areas,,
28625632237-1,runs/28625632237-1,2026-07-02T22:32:01+00:00,2026-07-02T22:32:01+00:00,cumulative_qmbd_records,2040,10.1002/9781119738275.ch3,doi,10.1002/9781119738275.ch3,crossref:10.1002/9781119738275.ch3,Supply Chain Metrics,LIVE_API,
28625632237-1,runs/28625632237-1,2026-07-02T22:32:01+00:00,2026-07-02T22:32:01+00:00,live_records,1574,10.1002/9781119738275.ch3,doi,10.1002/9781119738275.ch3,crossref:10.1002/9781119738275.ch3,Supply Chain Metrics,,
28625632237-1,runs/28625632237-1,2026-07-02T22:32:01+00:00,2026-07-02T22:32:01+00:00,live_records_triangulated,1574,10.1002/9781119738275.ch3,doi,10.1002/9781119738275.ch3,crossref:10.1002/9781119738275.ch3,Supply Chain Metrics,,
28625632237-1,runs/28625632237-1,2026-07-02T22:32:01+00:00,2026-07-02T22:32:01+00:00,cumulative_qmbd_records,1193,10.1002/9781394237029.ch18,doi,10.1002/9781394237029.ch18,crossref:10.1002/9781394237029.ch18,Policy and Governance Approaches for Coastal and Marine Pollution Management,LIVE_API,
