occurrence_pk,record_pk,run_pk,bundle_pk,dataset_code,dataset_label,provider_code,provider_label,occurrence_type_code,occurrence_type_label,timestamp_utc
occ_pk_28967267944.2_cumulative_qmbd_records_1081,record_pk_611d718a59e8c396,run_pk_28967267944.2,,3,cumulative_qmbd_records,1,crossref,1,run_observation,2026-07-08T19:07:59+00:00
occ_pk_28967267944.2_live_records_615,record_pk_611d718a59e8c396,run_pk_28967267944.2,,1,live_records,1,crossref,1,run_observation,2026-07-08T19:07:59+00:00
occ_pk_28967267944.2_live_records_triangulated_615,record_pk_611d718a59e8c396,run_pk_28967267944.2,,2,live_records_triangulated,1,crossref,1,run_observation,2026-07-08T19:07:59+00:00
occ_pk_28625632237-1_cumulative_qmbd_records_2040,record_pk_0ddccbdd3242cc1c,run_pk_28625632237-1,,3,cumulative_qmbd_records,1,crossref,1,run_observation,2026-07-02T22:32:01+00:00
occ_pk_28625632237-1_live_records_1574,record_pk_0ddccbdd3242cc1c,run_pk_28625632237-1,,1,live_records,1,crossref,1,run_observation,2026-07-02T22:32:01+00:00
occ_pk_28625632237-1_live_records_triangulated_1574,record_pk_0ddccbdd3242cc1c,run_pk_28625632237-1,,2,live_records_triangulated,1,crossref,1,run_observation,2026-07-02T22:32:01+00:00
occ_pk_28967267944.2_cumulative_qmbd_records_2040,record_pk_0ddccbdd3242cc1c,run_pk_28967267944.2,,3,cumulative_qmbd_records,1,crossref,1,run_observation,2026-07-08T19:07:59+00:00
occ_pk_28967267944.2_live_records_1574,record_pk_0ddccbdd3242cc1c,run_pk_28967267944.2,,1,live_records,1,crossref,1,run_observation,2026-07-08T19:07:59+00:00
occ_pk_28967267944.2_live_records_triangulated_1574,record_pk_0ddccbdd3242cc1c,run_pk_28967267944.2,,2,live_records_triangulated,1,crossref,1,run_observation,2026-07-08T19:07:59+00:00
occ_pk_28625632237-1_cumulative_qmbd_records_1193,record_pk_78aa3b86ab36c83a,run_pk_28625632237-1,,3,cumulative_qmbd_records,1,crossref,1,run_observation,2026-07-02T22:32:01+00:00
occ_pk_28625632237-1_live_records_727,record_pk_78aa3b86ab36c83a,run_pk_28625632237-1,,1,live_records,1,crossref,1,run_observation,2026-07-02T22:32:01+00:00
occ_pk_28625632237-1_live_records_triangulated_727,record_pk_78aa3b86ab36c83a,run_pk_28625632237-1,,2,live_records_triangulated,1,crossref,1,run_observation,2026-07-02T22:32:01+00:00
occ_pk_28967267944.2_cumulative_qmbd_records_1193,record_pk_78aa3b86ab36c83a,run_pk_28967267944.2,,3,cumulative_qmbd_records,1,crossref,1,run_observation,2026-07-08T19:07:59+00:00
